Suma,Media,Mediana,Moda,Max,Min
10.7,3.57,3.5,3.5,3.7,3.5
49.7,3.31,3.6,3.6,4.0,1.9
42.8,3.29,3.5,3.5,4.1,2.0
28.0,3.5,3.5,3.5,4.4,2.7
26.2,3.28,3.65,3.7,3.8,1.8
8.8,2.93,3.2,2.1,3.5,2.1
26.9,3.36,3.6,3.7,3.9,2.3
35.7,3.25,3.3,3.3,3.7,2.4
7.9,3.95,3.95,3.6,4.3,3.6
7.0,3.5,3.5,3.4,3.6,3.4
79.5,3.79,3.7,3.8,4.7,3.3
15.4,3.85,3.9,3.9,4.2,3.4
8.1,4.05,4.05,4.0,4.1,4.0
20914.3,3.52,3.5,3.5,7.1,2.1
3.9,3.9,3.9,3.9,3.9,3.9
1377.0,3.49,3.5,3.6,7.1,2.8
14.1,3.52,3.55,3.6,3.6,3.4
62.5,3.91,3.85,3.8,4.3,3.5
673.0,2.85,2.9,3.0,4.0,1.5
98.7,3.95,3.9,3.6,5.0,3.4
45.2,3.77,3.75,3.7,4.2,3.2
65.4,3.85,3.8,3.8,4.6,3.2
17.5,2.92,3.0,3.0,3.2,2.3
1688.0,4.07,4.0,3.9,5.7,3.1
15.7,3.92,3.85,3.5,4.5,3.5
21.1,3.52,3.5,3.3,3.9,3.3
7.0,3.5,3.5,3.5,3.5,3.5
3.8,3.8,3.8,3.8,3.8,3.8
8.5,4.25,4.25,3.7,4.8,3.7
206.8,3.83,3.8,3.9,4.7,2.7
8.2,4.1,4.1,4.1,4.1,4.1
3.8,3.8,3.8,3.8,3.8,3.8
298.4,3.93,3.9,3.7,5.5,3.3
163.6,3.56,3.5,3.5,4.4,3.1
255.2,2.77,2.8,3.7,4.0,1.5
3.6,3.6,3.6,3.6,3.6,3.6
11.8,3.93,3.9,3.9,4.0,3.9
26.3,3.29,3.25,3.1,3.6,3.0
1062.3,3.69,3.7,3.7,5.0,2.3
7.7,3.85,3.85,3.7,4.0,3.7
11.100000000000001,3.7,3.7,3.7,3.7,3.7
4450.2,3.58,3.6,3.5,5.1,2.7
207.0,3.91,3.8,3.7,4.7,3.5
7944.4,3.82,3.8,3.8,6.2,3.1
10.0,3.33,3.4,2.9,3.7,2.9
17.6,3.52,3.4,3.4,3.9,3.3
9.7,3.23,3.5,2.5,3.7,2.5
326.7,3.02,3.0,3.1,4.1,1.7
3.3,3.3,3.3,3.3,3.3,3.3
7910.0,3.58,3.6,3.5,5.6,2.7
1575.1,3.44,3.4,3.4,4.5,2.7
22.5,3.75,3.85,3.9,4.0,3.3
3.4,3.4,3.4,3.4,3.4,3.4
9.4,2.35,2.4,2.4,2.7,1.9
8.1,4.05,4.05,3.8,4.3,3.8
20.7,3.45,3.45,3.7,3.7,3.1
30.6,2.35,2.4,1.9,3.1,1.5
40.0,4.0,3.9,3.9,4.3,3.7
108.8,3.75,3.8,3.7,4.3,3.3
137.6,3.82,3.8,3.9,4.5,3.4
54.9,3.92,3.85,3.9,5.3,3.6
1212.3,4.46,4.3,4.2,6.2,3.0
2561.8,3.28,3.2,3.1,5.5,1.6
226.6,3.6,3.6,3.4,4.5,3.2
25.7,3.67,3.6,3.3,4.2,3.3
33.9,3.39,3.25,3.2,3.9,3.1
6.199999999999999,3.1,3.1,2.9,3.3,2.9
273.5,3.6,3.6,3.6,4.3,3.0
27.200000000000003,3.02,3.1,3.1,4.0,2.0
259.6,3.87,3.9,3.8,4.6,3.3
103.6,3.84,3.9,3.9,4.4,3.4
53.0,3.79,3.65,3.6,4.7,3.6
22.2,3.7,3.65,3.7,4.3,3.4
5124.4,3.4,3.4,3.5,4.9,2.4
7.9,3.95,3.95,3.6,4.3,3.6
93.6,3.74,3.8,4.0,4.1,3.2
7.8,3.9,3.9,3.5,4.3,3.5
4018.2,3.73,3.7,3.8,6.1,2.5
2.5,2.5,2.5,2.5,2.5,2.5
2.8,2.8,2.8,2.8,2.8,2.8
7.8999999999999995,3.95,3.95,3.8,4.1,3.8
160.4,4.11,4.0,3.5,6.2,3.4
153.5,3.74,3.7,3.9,4.5,3.1
3065.1,3.55,3.5,3.5,7.6,2.5
