Fecha,Hora,Magnitud,Latitud,Longitud,Profundidad,"Referencia de localizacion","Fecha UTC","Hora UTC","Estatus"
2023-11-05,00:13:52,3.6,19.23,-103.75,13.0,"2 km al SUROESTE de COLIMA, COL ",2023-11-05,06:13:52,verificado
2023-11-05,01:40:38,3.5,16.68,-94.75,104.1,"24 km al NORESTE de UNION HIDALGO, OAX ",2023-11-05,07:40:38,verificado
2023-11-05,03:21:49,3.8,18.87,-105.12,3.1,"72 km al SUROESTE de CIHUATLAN, JAL ",2023-11-05,09:21:49,verificado
2023-11-05,03:41:40,3.9,17.18,-94.7,138.2,"50 km al NORESTE de MATIAS ROMERO, OAX ",2023-11-05,09:41:40,verificado
2023-11-05,04:07:40,3.9,17.21,-94.48,146.1,"70 km al NORESTE de MATIAS ROMERO, OAX ",2023-11-05,10:07:40,verificado
2023-11-05,04:14:14,3.6,16.89,-93.57,154.0,"25 km al NOROESTE de OCOZOCOAUTLA, CHIS ",2023-11-05,10:14:14,verificado
2023-11-05,05:21:59,3.1,19.43,-104.34,5.0,"22 km al SURESTE de CASIMIRO CASTILLO, JAL ",2023-11-05,11:21:59,verificado
2023-11-05,05:30:22,4.1,19.62,-92.38,3.1,"122 km al NOROESTE de CD DEL CARMEN, CAMP ",2023-11-05,11:30:22,verificado
2023-11-05,05:45:14,3.9,16.56,-99.35,2.9,"26 km al SUR de SAN MARCOS, GRO ",2023-11-05,11:45:14,verificado
2023-11-05,05:58:06,3.4,16.65,-96.94,2.7,"32 km al SUROESTE de OCOTLAN DE MORELOS, OAX ",2023-11-05,11:58:06,verificado
2023-11-05,06:07:48,3.4,31.42,-115.38,10.3,"68 km al NOROESTE de SAN FELIPE, BC ",2023-11-05,12:07:48,verificado
2023-11-05,07:06:42,3.7,16.9,-99.66,42.3,"25 km al ESTE de ACAPULCO, GRO ",2023-11-05,13:06:42,verificado
2023-11-05,07:17:19,3.9,14.12,-93.22,22.0,"130 km al SUROESTE de CD HIDALGO, CHIS ",2023-11-05,13:17:19,verificado
2023-11-05,07:27:06,3.7,15.78,-96.96,13.1,"15 km al SURESTE de PUERTO ESCONDIDO, OAX ",2023-11-05,13:27:06,verificado
2023-11-05,07:32:53,3.8,15.82,-95.0,7.9,"45 km al SURESTE de SALINA CRUZ, OAX ",2023-11-05,13:32:53,verificado
2023-11-05,08:22:52,3.6,16.64,-93.78,148.8,"9 km al SUROESTE de CINTALAPA, CHIS ",2023-11-05,14:22:52,verificado
2023-11-05,08:30:13,3.8,15.61,-94.81,31.6,"75 km al SURESTE de SALINA CRUZ, OAX ",2023-11-05,14:30:13,verificado
2023-11-05,08:42:21,3.7,17.05,-95.43,98.5,"46 km al NOROESTE de MATIAS ROMERO, OAX ",2023-11-05,14:42:21,verificado
2023-11-05,09:16:04,3.5,18.09,-103.26,5.0,"77 km al SUR de COALCOMAN, MICH ",2023-11-05,15:16:04,verificado
2023-11-05,09:45:42,3.7,16.09,-97.47,16.0,"9 km al NOROESTE de RIO GRANDE, OAX ",2023-11-05,15:45:42,verificado
2023-11-05,09:54:20,3.9,18.09,-103.5,9.4,"84 km al SUROESTE de COALCOMAN, MICH ",2023-11-05,15:54:20,verificado
2023-11-05,10:39:30,3.6,15.94,-93.08,147.5,"31 km al NORESTE de PIJIJIAPAN, CHIS ",2023-11-05,16:39:30,verificado
2023-11-05,10:48:42,3.6,30.82,-115.06,10.0,"31 km al SUROESTE de SAN FELIPE, BC ",2023-11-05,16:48:42,verificado
2023-11-05,11:52:06,3.4,14.84,-92.55,78.4,"32 km al OESTE de TAPACHULA, CHIS ",2023-11-05,17:52:06,verificado
2023-11-05,12:00:17,3.6,15.95,-97.33,2.1,"13 km al SURESTE de RIO GRANDE, OAX ",2023-11-05,18:00:17,verificado
2023-11-05,12:13:34,3.4,18.24,-100.38,54.9,"13 km al SUROESTE de ARCELIA, GRO ",2023-11-05,18:13:34,verificado
2023-11-05,12:26:23,3.5,15.55,-94.64,16.1,"92 km al SURESTE de SALINA CRUZ, OAX ",2023-11-05,18:26:23,verificado
2023-11-05,12:51:23,3.2,15.9,-97.02,13.9,"7 km al NORESTE de PUERTO ESCONDIDO, OAX ",2023-11-05,18:51:23,verificado
2023-11-05,13:06:21,3.6,19.37,-104.09,3.4,"35 km al NOROESTE de COQUIMATLAN, COL ",2023-11-05,19:06:21,verificado
2023-11-05,14:57:31,3.5,20.49,-105.81,12.6,"61 km al OESTE de PUERTO VALLARTA, JAL ",2023-11-05,20:57:31,verificado
2023-11-05,15:14:19,3.7,16.13,-97.51,5.0,"16 km al NOROESTE de RIO GRANDE, OAX ",2023-11-05,21:14:19,verificado
2023-11-05,15:14:34,3.7,16.24,-93.1,182.7,"18 km al ESTE de VILLAFLORES, CHIS ",2023-11-05,21:14:34,verificado
2023-11-05,15:50:31,3.5,16.93,-100.46,9.5,"31 km al SUR de ATOYAC DE ALVAREZ, GRO ",2023-11-05,21:50:31,verificado
2023-11-05,16:07:28,3.6,17.38,-95.02,126.1,"56 km al SUR de SAYULA DE ALEMAN, VER ",2023-11-05,22:07:28,verificado
2023-11-05,16:08:06,3.8,18.08,-103.27,5.0,"78 km al SUR de COALCOMAN, MICH ",2023-11-05,22:08:06,verificado
2023-11-05,16:08:25,3.9,14.98,-94.5,18.7,"146 km al SUROESTE de TONALA, CHIS ",2023-11-05,22:08:25,verificado
2023-11-05,17:25:55,3.9,15.1,-93.19,64.9,"50 km al SUROESTE de MAPASTEPEC, CHIS ",2023-11-05,23:25:55,verificado
2023-11-05,17:29:56,3.3,31.12,-115.89,11.9,"45 km al NORTE de VICENTE GUERRERO, BC ",2023-11-05,23:29:56,verificado
2023-11-05,17:59:54,3.8,18.32,-102.83,6.8,"61 km al SURESTE de COALCOMAN, MICH ",2023-11-05,23:59:54,verificado
2023-11-05,18:01:34,3.9,18.21,-100.65,54.6,"17 km al SUR de CD ALTAMIRANO, GRO ",2023-11-06,00:01:34,verificado
2023-11-05,18:23:31,3.8,16.73,-100.21,2.2,"34 km al SUROESTE de COYUCA DE BENITEZ, GRO ",2023-11-06,00:23:31,verificado
2023-11-05,18:43:32,3.5,30.66,-116.23,10.0,"24 km al SUROESTE de VICENTE GUERRERO, BC ",2023-11-06,00:43:32,verificado
2023-11-05,18:48:04,3.6,19.9,-106.0,16.1,"113 km al SUROESTE de PUERTO VALLARTA, JAL ",2023-11-06,00:48:04,verificado
2023-11-05,19:21:10,3.8,18.17,-105.0,16.8,"121 km al SUROESTE de MANZANILLO, COL ",2023-11-06,01:21:10,verificado
2023-11-05,19:32:33,3.6,18.3,-103.49,7.6,"63 km al SUROESTE de COALCOMAN, MICH ",2023-11-06,01:32:33,verificado
2023-11-05,19:35:05,3.5,15.87,-94.52,16.1,"74 km al SURESTE de UNION HIDALGO, OAX ",2023-11-06,01:35:05,verificado
2023-11-05,19:44:30,3.5,17.51,-94.56,144.5,"53 km al SUR de MINATITLAN, VER ",2023-11-06,01:44:30,verificado
2023-11-05,19:57:11,3.8,14.96,-92.86,81.4,"46 km al SUROESTE de HUIXTLA, CHIS ",2023-11-06,01:57:11,verificado
2023-11-05,20:26:32,3.0,31.11,-115.41,9.6,"56 km al OESTE de SAN FELIPE, BC ",2023-11-06,02:26:32,verificado
2023-11-05,20:33:46,3.6,15.15,-94.56,16.1,"132 km al SURESTE de SALINA CRUZ, OAX ",2023-11-06,02:33:46,verificado
2023-11-05,20:49:46,4.1,16.54,-100.62,10.5,"75 km al SUR de TECPAN, GRO ",2023-11-06,02:49:46,verificado
2023-11-05,21:14:56,3.7,18.88,-103.91,12.5,"5 km al SUROESTE de TECOMAN, COL ",2023-11-06,03:14:56,verificado
2023-11-05,21:48:30,3.3,19.61,-96.41,5.0,"27 km al NORTE de JOSE CARDEL, VER ",2023-11-06,03:48:30,verificado
2023-11-05,22:32:36,3.2,18.9,-103.59,46.5,"30 km al ESTE de TECOMAN, COL ",2023-11-06,04:32:36,verificado
2023-11-05,22:50:38,3.0,27.39,-112.61,5.0,"35 km al OESTE de SANTA ROSALIA, BCS ",2023-11-06,04:50:38,verificado
2023-11-05,23:19:58,3.4,16.15,-97.5,31.8,"16 km al NOROESTE de RIO GRANDE, OAX ",2023-11-06,05:19:58,verificado
